country,no_researchers_2005,no_technicians_2005,no_journals_2011,rd_expenditures_percent_gdp_2005,rd_expenditures_in_mdollars_2013,percent_of_manufactured_export_2013,ip_receipts_mdollar_2013,ip_payments_mdollar_2013,total_patent_resident_2013,total_patent_nonresident_2013,total_trademark_2013
United Kingdom,"4,024","1,169","46,035",1.72,"24,216",16.3,"12,947","9,037","14,972","7,966","50,415"
United States,"3,979",..,"208,601",2.79,"147,833",17.8,"129,178","39,016","287,831","283,781","342,287"
Uruguay,538,..,290,0.43,189,8.7,0,36,22,678,"6,021"
Uzbekistan,534,60,141,..,..,..,..,..,299,258,"4,931"
Vanuatu,..,..,5,..,3,54,0,0,..,..,..
"Venezuela, RB",290,..,302,..,18,2.3,..,397,33,"1,565","19,587"
Vietnam,..,..,432,..,"27,819",28.2,..,..,443,"3,552","36,454"
Virgin Islands (U.S.),..,..,..,..,..,..,..,..,..,..,..
West Bank and Gaza,327,73,..,..,0,..,0,1,..,..,..
"Yemen, Rep.",..,..,33,..,3,0.4,..,5,43,37,"3,797"
Zambia,43,67,60,0.34,39,2.4,..,1,13,26,944
Zimbabwe,95,10,63,..,18,3.6,..,..,..,..,..
World,"1,284",..,"582,012",2.13,"1,989,837",17.8,"251,968","266,921","1,624,969","770,304","4,595,564"
Low income,..,..,"1,612",..,..,4.1,82,89,..,..,..
Middle income,569,..,"173,061",1.24,"747,075",19.1,"7,727","49,977","754,479","243,865","3,101,849"
Lower middle income,..,..,"31,345",0.56,"73,458",11.1,768,"7,951","17,277","53,863","480,181"
Upper middle income,897,..,"141,716",1.35,"687,716",21.2,"6,959","42,027","737,202","190,002","2,621,668"
Low & middle income,528,..,"174,673",1.24,"692,419",18.9,"7,809","50,067","754,701","244,361","3,140,201"
East Asia & Pacific,"1,020",..,"95,382",1.98,..,26.8,"1,270","29,334","709,185","145,727","2,062,103"
Europe & Central Asia,"1,019",205,"17,209",0.71,"27,340",10.4,"2,612","5,300","13,625","4,049","246,286"
Latin America & Caribbean,546,370,"18,869",0.84,"58,896",12,"3,225","8,999","7,239","49,112","421,572"
Middle East & North Africa,631,..,"13,542",..,"2,543",2,99,282,"12,571","4,137","83,846"
South Asia,159,103,"24,249",0.76,"13,299",7.5,452,"4,059","11,229","33,592","246,699"
Sub-Saharan Africa,..,..,"5,422",0.58,..,4.3,152,"2,093",..,..,..
High income,"3,864",..,"407,339",2.32,"1,242,352",17.2,"244,159","216,855","870,268","525,943","1,455,363"
Euro area,"3,277","1,510","176,646",2.14,"482,167",15.9,"50,081","87,712","82,521","20,358","326,765"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
